,epoch,train_loss,val_loss,accuracy,val_accuracy,time
0,1,2.01,1.852,17.35,24.14,6.3
1,2,1.79,1.786,29.32,29.18,6.5
2,3,1.676,1.643,35.64,34.22,6.6
3,4,1.519,1.398,41.89,46.42,6.1
4,5,1.404,1.321,48.54,50.66,6.3
5,6,1.271,1.217,54.06,57.03,6.5
6,7,1.219,1.202,54.79,56.5,6.5
7,8,1.141,1.215,57.71,56.23,6.9
8,9,1.073,1.12,59.77,60.48,6.6
9,10,1.022,1.054,60.11,63.13,6.4
10,11,0.961,0.981,65.36,65.52,6.6
11,12,0.9,1.001,67.69,62.07,6.1
12,13,0.874,1.23,68.22,57.82,6.6
13,14,0.837,0.873,70.48,71.09,6.3
14,15,0.786,0.847,72.01,71.88,5.9
15,16,0.768,0.909,72.74,65.52,6.7
16,17,0.726,0.771,73.94,71.62,6.5
17,18,0.672,0.734,75.27,73.74,7.0
18,19,0.635,0.71,77.06,77.98,6.3
19,20,0.617,0.728,78.06,75.86,6.6
20,21,0.629,0.623,77.19,76.66,6.5
21,22,0.603,0.703,79.59,75.07,6.2
22,23,0.577,0.611,79.99,78.78,6.2
23,24,0.574,0.689,79.59,72.15,6.3
24,25,0.576,0.647,80.45,75.86,6.3
25,26,0.573,0.64,79.65,78.25,6.3
26,27,0.501,0.565,81.91,81.7,7.5
27,28,0.507,0.631,81.52,77.19,6.6
28,29,0.491,0.626,83.18,80.11,6.6
29,30,0.504,0.546,82.31,81.17,6.6
30,31,0.486,0.586,83.24,80.64,6.6
31,32,0.453,0.613,84.04,79.84,6.4
32,33,0.439,0.582,84.18,80.64,6.3
33,34,0.457,0.607,83.91,78.25,6.4
34,35,0.425,0.538,84.57,81.43,6.4
35,36,0.439,0.612,85.17,77.98,6.3
36,37,0.425,0.544,85.31,82.23,6.3
37,38,0.44,0.625,84.18,76.92,6.6
38,39,0.45,0.562,83.58,80.9,6.5
39,40,0.4,0.577,87.3,80.64,6.6
40,41,0.418,0.505,84.71,82.49,6.5
41,42,0.396,0.516,85.64,81.7,6.4
42,43,0.362,0.585,87.03,79.84,6.3
43,44,0.368,0.542,86.04,79.84,6.5
44,45,0.363,0.658,86.5,80.11,6.3
45,46,0.406,0.513,85.31,81.96,6.6
46,47,0.347,0.637,87.9,77.98,6.3
47,48,0.348,0.569,87.77,83.29,6.3
48,49,0.349,0.549,87.23,82.49,6.2
49,50,0.393,0.556,86.1,81.43,6.5
50,51,0.332,0.579,87.43,77.72,6.3
51,52,0.318,0.561,87.83,77.72,6.7
52,53,0.339,0.56,87.83,82.23,6.6
53,54,0.323,0.569,88.36,79.84,6.4
54,55,0.31,0.589,89.03,80.64,6.5
55,56,0.315,0.56,87.77,81.96,6.6
56,57,0.301,0.501,88.96,83.55,6.5
57,58,0.289,0.512,89.69,81.7,6.5
58,59,0.335,0.543,88.03,82.76,6.3
59,60,0.271,0.526,89.69,82.49,6.3
60,61,0.32,0.484,89.03,82.76,6.4
61,62,0.313,0.488,87.77,83.55,6.4
62,63,0.277,0.623,89.36,78.51,6.5
63,64,0.281,0.518,89.69,82.49,6.7
64,65,0.263,0.542,90.56,81.96,6.6
65,66,0.251,0.565,90.89,83.02,6.8
66,67,0.26,0.53,90.36,83.55,6.4
67,68,0.241,0.625,91.09,82.49,6.4
68,69,0.265,0.596,89.63,83.02,6.7
69,70,0.248,0.689,91.09,79.58,6.4
70,71,0.233,0.531,91.69,83.82,6.7
71,72,0.245,0.554,92.22,80.37,6.2
72,73,0.317,0.578,88.9,80.9,6.3
73,74,0.23,0.531,91.76,82.49,6.3
74,75,0.208,0.56,93.15,83.02,6.4
75,76,0.225,0.563,91.62,82.49,6.8
76,77,0.211,0.628,92.42,81.43,6.6
