,epoch,train_loss,val_loss,accuracy,val_accuracy,time
0,1,2.074,2.083,14.76,12.73,5.9
1,2,1.938,1.882,22.74,24.4,6.0
2,3,1.831,1.799,26.0,30.5,5.7
3,4,1.72,1.714,34.18,29.18,6.0
4,5,1.627,1.608,35.9,40.85,6.0
5,6,1.594,1.615,35.31,36.6,5.7
6,7,1.547,1.51,41.16,43.24,5.8
7,8,1.45,1.602,44.15,41.64,5.7
8,9,1.406,1.366,46.28,49.6,5.9
9,10,1.325,1.311,50.53,50.13,6.2
10,11,1.257,1.29,52.93,53.05,5.7
11,12,1.225,1.214,53.66,53.05,5.8
12,13,1.146,1.179,55.78,56.5,6.4
13,14,1.104,1.113,57.98,57.03,6.0
14,15,1.036,1.407,60.7,49.07,6.2
15,16,1.045,1.084,60.24,60.74,5.9
16,17,0.937,1.103,65.43,61.54,6.8
17,18,0.932,1.055,66.42,64.46,5.9
18,19,0.939,0.884,65.23,68.97,6.1
19,20,0.867,0.889,68.62,69.76,5.8
20,21,0.808,0.867,71.94,65.52,5.9
21,22,0.766,0.78,71.94,71.62,6.9
22,23,0.755,0.759,73.01,71.62,6.2
23,24,0.706,0.927,75.73,68.17,5.8
24,25,0.683,0.791,74.73,72.41,6.0
25,26,0.7,0.902,75.73,68.44,6.2
26,27,0.665,0.744,77.19,75.6,6.2
27,28,0.597,0.747,77.73,74.54,5.9
28,29,0.618,0.69,78.52,76.92,6.1
29,30,0.612,0.704,78.19,76.66,6.9
30,31,0.579,0.641,79.65,77.98,7.9
31,32,0.561,0.643,80.12,75.86,7.1
32,33,0.557,0.691,80.45,77.45,6.4
33,34,0.56,0.683,79.39,76.66,7.5
34,35,0.536,0.624,81.45,79.58,6.6
35,36,0.501,0.709,82.11,77.19,6.9
36,37,0.507,0.64,83.18,76.13,6.1
37,38,0.547,0.71,80.05,75.6,5.9
38,39,0.476,0.619,83.05,79.84,6.0
39,40,0.519,0.669,82.05,76.92,6.2
40,41,0.497,0.642,81.25,79.84,6.2
41,42,0.464,0.61,83.51,76.92,7.3
42,43,0.483,0.654,81.45,76.13,6.7
